,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Precious Achiuwa,C,23,TOR,12,0,20.4,3.0,7.7,.391,0.4,2.3,.179,2.6,5.3,.484,.418,2.3,2.8,.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8,2023
1,2,Steven Adams,C,29,MEM,32,32,26.5,3.6,6.0,.594,0.0,0.0,.000,3.6,6.0,.597,.594,0.9,2.7,.326,4.9,6.0,10.8,2.2,0.8,1.2,1.8,2.3,8.0,2023
2,3,Bam Adebayo,C,25,MIA,33,33,35.2,8.3,15.5,.536,0.0,0.3,.100,8.3,15.2,.545,.537,4.5,5.5,.829,2.7,7.1,9.8,3.3,1.0,0.7,3.0,3.2,21.2,2023
3,4,Ochai Agbaji,SG,22,UTA,16,0,7.9,1.1,2.6,.405,0.3,1.3,.238,0.8,1.3,.571,.464,0.3,0.6,.444,0.4,0.7,1.1,0.2,0.1,0.0,0.0,0.8,2.7,2023
4,5,Santi Aldama,PF,22,MEM,33,16,23.3,3.4,7.2,.475,1.3,3.5,.379,2.1,3.6,.567,.568,1.5,2.0,.716,1.2,4.0,5.2,1.3,0.7,0.9,0.6,2.3,9.6,2023
5,6,Nickeil Alexander-Walker,SG,24,UTA,26,2,15.5,2.5,5.1,.489,1.1,2.7,.420,1.4,2.5,.563,.598,0.7,1.0,.731,0.3,1.3,1.6,2.3,0.7,0.4,1.3,1.7,6.8,2023
6,7,Grayson Allen,SG,27,MIL,32,30,27.4,3.3,7.5,.440,1.8,4.5,.386,1.6,3.0,.521,.556,1.8,2.0,.921,1.0,2.6,3.6,2.4,0.7,0.2,1.1,1.4,10.2,2023
7,8,Jarrett Allen,C,24,CLE,30,30,33.5,5.5,8.9,.616,0.0,0.1,.000,5.5,8.8,.625,.616,2.8,3.8,.722,3.0,7.2,10.2,1.5,0.8,1.2,1.5,2.2,13.8,2023
8,9,Jose Alvarado,PG,24,NOP,35,7,20.7,3.3,7.8,.419,1.4,4.1,.336,1.9,3.7,.512,.507,1.1,1.5,.745,0.5,1.9,2.3,2.9,1.3,0.1,1.4,2.1,9.0,2023
9,10,Kyle Anderson,PF,29,MIN,27,12,24.6,2.6,5.6,.470,0.4,1.2,.375,2.2,4.4,.496,.510,1.7,2.2,.797,0.6,3.6,4.2,3.4,1.1,0.7,1.4,2.0,7.4,2023
