,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,26,10,.722,—,118.8,112.1,6.48,2023,Boston Celtics
1,24,12,.667,2.0,114.5,111.0,3.64,2023,Brooklyn Nets
2,21,14,.600,4.5,111.9,108.2,3.37,2023,Philadelphia 76ers
3,19,18,.514,7.5,114.5,112.1,2.24,2023,New York Knicks
4,16,20,.444,10.0,111.3,111.2,0.70,2023,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2023,Central Division
6,23,12,.657,—,112.9,110.5,2.43,2023,Milwaukee Bucks
7,23,14,.622,1.0,111.2,106.2,4.94,2023,Cleveland Cavaliers
8,20,17,.541,4.0,115.4,115.8,-0.43,2023,Indiana Pacers
9,16,20,.444,7.5,113.8,114.8,-0.29,2023,Chicago Bulls
10,10,29,.256,15.0,111.7,118.5,-5.81,2023,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2023,Southeast Division
12,19,18,.514,—,109.0,109.6,-1.08,2023,Miami Heat
13,17,19,.472,1.5,114.5,115.5,-1.26,2023,Atlanta Hawks
14,16,21,.432,3.0,111.9,112.9,-0.49,2023,Washington Wizards
15,13,24,.351,6.0,109.8,113.9,-4.25,2023,Orlando Magic
16,10,27,.270,9.0,111.3,118.0,-6.39,2023,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2023,Northwest Division
1,23,12,.657,—,116.4,114.4,1.35,2023,Denver Nuggets
2,18,17,.514,5.0,112.3,112.2,-0.12,2023,Portland Trail Blazers
3,19,20,.487,6.0,117.3,116.6,0.75,2023,Utah Jazz
4,16,21,.432,8.0,114.4,115.9,-1.85,2023,Minnesota Timberwolves
5,15,21,.417,8.5,115.2,116.8,-1.52,2023,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2023,Pacific Division
7,19,15,.559,—,118.3,116.7,1.48,2023,Sacramento Kings
8,21,17,.553,—,109.7,109.4,-0.50,2023,Los Angeles Clippers
9,20,17,.541,0.5,115.1,112.0,3.09,2023,Phoenix Suns
10,19,18,.514,1.5,116.4,116.8,-0.30,2023,Golden State Warriors
11,15,21,.417,5.0,116.0,117.7,-1.92,2023,Los Angeles Lakers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2023,Southwest Division
13,23,13,.639,—,117.6,112.8,4.65,2023,New Orleans Pelicans
14,22,13,.629,0.5,115.4,111.2,4.41,2023,Memphis Grizzlies
15,21,16,.568,2.5,112.6,110.4,2.32,2023,Dallas Mavericks
16,12,24,.333,11.0,111.9,120.5,-8.62,2023,San Antonio Spurs
17,10,26,.278,13.0,109.4,115.8,-6.10,2023,Houston Rockets
